LOC	 PID 	 TYPE 	 AREA 	 PERIM 	 GYRATE 	 SHAPE 	 FRAC 	 CORE 	 NCORE 	 CAI
hwasun_nongeup	1	 cls_9 	66413.97	2388900	11904.2788	23.1707	1.3094	64713.16	155	97.4391
hwasun_nongeup	12	 cls_9 	5.73	1400	104.7349	1.4583	1.0694	4.74	1	82.7225
hwasun_nongeup	14	 cls_9 	0.01	40	5	1	1	0	0	0
hwasun_nongeup	49	 cls_9 	0.32	480	38.4065	2	1.1864	0.03	2	9.375
hwasun_nongeup	53	 cls_9 	5.09	1860	171.8029	2.0217	1.1335	3.63	1	71.3163
hwasun_nongeup	57	 cls_9 	1.72	940	71.6132	1.7407	1.1196	1.07	1	62.2093
hwasun_nongeup	58	 cls_9 	2.83	880	66.2465	1.2941	1.0524	2.25	1	79.5053
hwasun_nongeup	59	 cls_9 	3.93	1000	78.2092	1.25	1.0439	3.23	1	82.1883
hwasun_nongeup	123	 cls_9 	0.92	680	43.5948	1.7	1.1254	0.49	1	53.2609
hwasun_nongeup	131	 cls_9 	27.52	2680	199.5229	1.2762	1.0391	25.66	1	93.2413
hwasun_nongeup	134	 cls_9 	17.13	2500	182.4035	1.506	1.0684	15.2	1	88.7332
hwasun_nongeup	172	 cls_9 	3.97	1000	81.1275	1.25	1.0429	3.29	1	82.8715
hwasun_nongeup	177	 cls_9 	4.92	1560	115.9651	1.7333	1.1045	3.81	1	77.439
hwasun_nongeup	187	 cls_9 	0.33	280	22.9418	1.1667	1.0488	0.16	1	48.4848
hwasun_nongeup	196	 cls_9 	0.52	440	34.2283	1.4667	1.0987	0.27	1	51.9231
hwasun_nongeup	202	 cls_9 	4.03	1140	92.9614	1.3902	1.0661	3.26	1	80.8933
hwasun_nongeup	211	 cls_9 	4.51	1060	82.8045	1.2326	1.0413	3.77	1	83.592
hwasun_nongeup	236	 cls_9 	1.39	1020	70.1816	2.125	1.1617	0.77	1	55.3957
hwasun_nongeup	273	 cls_9 	0.49	340	29.5146	1.2143	1.0457	0.25	1	51.0204
hwasun_nongeup	329	 cls_9 	1.67	860	65.9932	1.6538	1.1047	1.08	1	64.6707
hwasun_nongeup	340	 cls_9 	0.12	180	16.9631	1.2857	1.0738	0	0	0
hwasun_nongeup	349	 cls_9 	0.01	40	5	1	1	0	0	0
hwasun_nongeup	350	 cls_9 	0.08	220	18.6841	1.8333	1.199	0	0	0
hwasun_nongeup	352	 cls_9 	0.01	40	5	1	1	0	0	0
hwasun_nongeup	363	 cls_9 	79.78	5020	346.4895	1.4022	1.0501	76.23	2	95.5503
hwasun_nongeup	369	 cls_9 	3.34	980	75.419	1.3243	1.0563	2.66	1	79.6407
hwasun_nongeup	2	 cls_1 	7.46	3140	142.5072	2.8545	1.1882	5.24	2	70.2413
hwasun_nongeup	3	 cls_1 	15.6	6460	324.6746	4.0886	1.2355	10.96	3	70.2564
hwasun_nongeup	4	 cls_1 	88.07	16060	653.751	4.2713	1.2124	76.44	1	86.7946
hwasun_nongeup	5	 cls_1 	31.08	6920	277.9911	3.0893	1.1791	26.39	1	84.9099
hwasun_nongeup	6	 cls_1 	0.15	180	14.8487	1.125	1.041	0.04	1	26.6667
hwasun_nongeup	7	 cls_1 	15.26	3700	224.4992	2.3418	1.1444	12.55	1	82.2412
hwasun_nongeup	8	 cls_1 	5.98	1660	129.0096	1.6939	1.0962	4.76	1	79.5987
hwasun_nongeup	9	 cls_1 	26.66	7400	435.4002	3.5577	1.2043	21.09	2	79.1073
hwasun_nongeup	10	 cls_1 	53.83	8580	337.8711	2.9184	1.1626	47.89	1	88.9653
hwasun_nongeup	11	 cls_1 	0.12	180	13.9801	1.2857	1.0738	0.02	1	16.6667
hwasun_nongeup	13	 cls_1 	1.32	840	62.5181	1.8261	1.1271	0.81	2	61.3636
hwasun_nongeup	15	 cls_1 	76.13	19100	699.7101	5.4571	1.251	62.65	1	82.2934
hwasun_nongeup	16	 cls_1 	4.9	2520	143.6784	2.8	1.1937	3.07	2	62.6531
hwasun_nongeup	17	 cls_1 	0.56	380	30.3828	1.2667	1.0553	0.32	1	57.1429
hwasun_nongeup	18	 cls_1 	0.29	340	24.2818	1.5455	1.1145	0.1	1	34.4828
hwasun_nongeup	19	 cls_1 	0.99	1000	87.5072	2.5	1.2003	0.38	3	38.3838
hwasun_nongeup	20	 cls_1 	256.39	68300	1390.6352	10.6386	1.3208	208.4	11	81.2824
hwasun_nongeup	21	 cls_1 	1.09	840	65.0063	2	1.1503	0.58	1	53.211
hwasun_nongeup	22	 cls_1 	46.21	11240	534.0754	4.1324	1.2176	38.15	2	82.5579
hwasun_nongeup	23	 cls_1 	3.83	1840	143.0368	2.3	1.162	2.54	1	66.3185
hwasun_nongeup	24	 cls_1 	39.96	6760	395.055	2.6614	1.1525	35.24	1	88.1882
hwasun_nongeup	25	 cls_1 	1.65	1000	77.7037	1.9231	1.1371	1.02	1	61.8182
hwasun_nongeup	26	 cls_1 	39.53	7560	502.2293	3	1.1708	34.14	1	86.3648
hwasun_nongeup	27	 cls_1 	8.08	3520	254.0495	3.0877	1.2	5.56	3	68.8119
hwasun_nongeup	28	 cls_1 	1.25	940	97.71	2.0435	1.1575	0.48	3	38.4
hwasun_nongeup	29	 cls_1 	0.81	740	63.5853	2.0556	1.1601	0.25	4	30.8642
hwasun_nongeup	30	 cls_1 	0.77	520	39.3132	1.4444	1.0878	0.4	1	51.9481
hwasun_nongeup	31	 cls_1 	219.3	45240	1167.5364	7.6162	1.2785	186.83	6	85.1938
hwasun_nongeup	32	 cls_1 	0.71	460	42.4146	1.3529	1.0701	0.33	1	46.4789
hwasun_nongeup	33	 cls_1 	12.75	4660	327.9536	3.2361	1.2012	9.58	1	75.1373
hwasun_nongeup	34	 cls_1 	6.32	2960	248.3463	2.902	1.1953	4.58	1	72.4684
hwasun_nongeup	35	 cls_1 	0.76	460	34.8951	1.2778	1.062	0.45	1	59.2105
hwasun_nongeup	36	 cls_1 	9.98	3700	305.8704	2.8906	1.1867	7.33	1	73.4469
hwasun_nongeup	37	 cls_1 	3.11	1600	108.8304	2.2222	1.1583	1.94	1	62.3794
hwasun_nongeup	38	 cls_1 	25.76	4080	327.7117	2	1.112	22.61	1	87.7717
hwasun_nongeup	39	 cls_1 	0.73	500	39.526	1.3889	1.0855	0.38	1	52.0548
hwasun_nongeup	40	 cls_1 	4.7	2400	189.0392	2.7273	1.1893	3.07	1	65.3191
hwasun_nongeup	41	 cls_1 	17.37	3700	294.4533	2.2024	1.1322	14.59	2	83.9954
hwasun_nongeup	42	 cls_1 	3.2	1340	110.7407	1.8611	1.121	2.29	1	71.5625
hwasun_nongeup	43	 cls_1 	0.54	420	31.2614	1.4	1.0831	0.26	1	48.1481
hwasun_nongeup	44	 cls_1 	1.37	1060	65.3162	2.2083	1.1716	0.68	2	49.635
hwasun_nongeup	45	 cls_1 	0.16	220	16.528	1.375	1.0863	0.04	1	25
hwasun_nongeup	46	 cls_1 	1.61	900	64.7893	1.7308	1.1183	0.95	1	59.0062
hwasun_nongeup	47	 cls_1 	0.66	560	48.7528	1.6471	1.1238	0.25	1	37.8788
hwasun_nongeup	48	 cls_1 	0.33	440	34.2394	1.8333	1.1604	0.09	2	27.2727
hwasun_nongeup	50	 cls_1 	0.59	620	54.3374	1.9375	1.1617	0.17	3	28.8136
hwasun_nongeup	51	 cls_1 	375.23	45600	1118.0706	5.8763	1.2342	342.31	5	91.2267
hwasun_nongeup	52	 cls_1 	0.16	240	21.9762	1.5	1.1099	0	0	0
hwasun_nongeup	54	 cls_1 	132.91	38280	1435.3759	8.2857	1.3002	106.49	3	80.1219
hwasun_nongeup	55	 cls_1 	8.92	3540	215.6644	2.95	1.1906	6.54	1	73.3184
hwasun_nongeup	56	 cls_1 	1.1	600	43.4754	1.4286	1.0769	0.74	1	67.2727
hwasun_nongeup	60	 cls_1 	33.85	8260	407.1964	3.5299	1.199	28.16	2	83.1905
hwasun_nongeup	61	 cls_1 	5.25	1360	103.911	1.4783	1.0726	4.31	1	82.0952
hwasun_nongeup	62	 cls_1 	1.32	820	66.3288	1.7826	1.1221	0.76	1	57.5758
hwasun_nongeup	63	 cls_1 	1.96	780	61.2675	1.3929	1.0671	1.44	1	73.4694
hwasun_nongeup	64	 cls_1 	0.2	280	26.797	1.5556	1.1179	0	0	0
hwasun_nongeup	65	 cls_1 	1.02	540	40.5408	1.2857	1.0629	0.67	1	65.6863
hwasun_nongeup	66	 cls_1 	1.19	620	44.6713	1.4091	1.0749	0.77	1	64.7059
hwasun_nongeup	67	 cls_1 	21.94	3900	224.2787	2.0745	1.1192	19.18	1	87.4202
hwasun_nongeup	68	 cls_1 	0.33	300	25.1887	1.25	1.0658	0.11	1	33.3333
hwasun_nongeup	69	 cls_1 	5.13	2340	222.4962	2.5435	1.175	3.23	1	62.963
hwasun_nongeup	70	 cls_1 	2.3	1380	103.936	2.2258	1.1637	1.46	1	63.4783
hwasun_nongeup	71	 cls_1 	0.61	420	33.7074	1.3125	1.0679	0.31	1	50.8197
