LOC	 PID 	 TYPE 	 AREA 	 PERIM 	 GYRATE 	 SHAPE 	 FRAC 	 CORE 	 NCORE 	 CAI
hwasun_pibok	1	 cls_9 	69443.99	7024720	11818.2623	66.6356	1.4125	64861.78	3403	93.4016
hwasun_pibok	9	 cls_9 	0.03	100	8.4359	1.25	1.1287	0	0	0
hwasun_pibok	22	 cls_9 	0.02	60	5	1	1.0222	0	0	0
hwasun_pibok	24	 cls_9 	0.01	40	5	1	1	0	0	0
hwasun_pibok	29	 cls_9 	0.01	40	5	1	1	0	0	0
hwasun_pibok	30	 cls_9 	0.01	40	5	1	1	0	0	0
hwasun_pibok	33	 cls_9 	0.01	40	5	1	1	0	0	0
hwasun_pibok	34	 cls_9 	0.01	40	5	1	1	0	0	0
hwasun_pibok	35	 cls_9 	0.02	80	7.0711	1.3333	1.1308	0	0	0
hwasun_pibok	36	 cls_9 	0.04	140	12.7917	1.75	1.1868	0	0	0
hwasun_pibok	37	 cls_9 	0.01	40	5	1	1	0	0	0
hwasun_pibok	38	 cls_9 	0.02	60	5	1	1.0222	0	0	0
hwasun_pibok	39	 cls_9 	0.01	40	5	1	1	0	0	0
hwasun_pibok	40	 cls_9 	0.02	60	5	1	1.0222	0	0	0
hwasun_pibok	41	 cls_9 	0.06	180	13.9482	1.8	1.1902	0	0	0
hwasun_pibok	42	 cls_9 	0.01	40	5	1	1	0	0	0
hwasun_pibok	43	 cls_9 	0.01	40	5	1	1	0	0	0
hwasun_pibok	104	 cls_9 	0.01	40	5	1	1	0	0	0
hwasun_pibok	108	 cls_9 	0.03	80	6.6667	1	1.0504	0	0	0
hwasun_pibok	109	 cls_9 	0.02	60	5	1	1.0222	0	0	0
hwasun_pibok	110	 cls_9 	0.01	40	5	1	1	0	0	0
hwasun_pibok	113	 cls_9 	0.01	40	5	1	1	0	0	0
hwasun_pibok	115	 cls_9 	0.11	300	25.5947	2.1429	1.233	0	0	0
hwasun_pibok	119	 cls_9 	0.01	40	5	1	1	0	0	0
hwasun_pibok	120	 cls_9 	0.01	40	5	1	1	0	0	0
hwasun_pibok	122	 cls_9 	0.13	400	27.0446	2.5	1.2845	0	0	0
hwasun_pibok	124	 cls_9 	0.02	60	5	1	1.0222	0	0	0
hwasun_pibok	125	 cls_9 	0.09	300	19.4969	2.5	1.2694	0	0	0
hwasun_pibok	127	 cls_9 	0.02	60	5	1	1.0222	0	0	0
hwasun_pibok	128	 cls_9 	0.02	60	5	1	1.0222	0	0	0
hwasun_pibok	130	 cls_9 	0.02	60	5	1	1.0222	0	0	0
hwasun_pibok	131	 cls_9 	0.22	280	20.9619	1.4	1.104	0.06	2	27.2727
hwasun_pibok	135	 cls_9 	0.06	140	15	1.4	1.1116	0	0	0
hwasun_pibok	136	 cls_9 	0.13	320	25.0688	2	1.2223	0	0	0
hwasun_pibok	137	 cls_9 	0.01	40	5	1	1	0	0	0
hwasun_pibok	139	 cls_9 	0.01	40	5	1	1	0	0	0
hwasun_pibok	141	 cls_9 	0.01	40	5	1	1	0	0	0
hwasun_pibok	143	 cls_9 	0.01	40	5	1	1	0	0	0
hwasun_pibok	144	 cls_9 	0.06	160	16.1259	1.6	1.1533	0	0	0
hwasun_pibok	146	 cls_9 	0.01	40	5	1	1	0	0	0
hwasun_pibok	147	 cls_9 	0.01	40	5	1	1	0	0	0
hwasun_pibok	149	 cls_9 	0.01	40	5	1	1	0	0	0
hwasun_pibok	150	 cls_9 	0.01	40	5	1	1	0	0	0
hwasun_pibok	151	 cls_9 	0.23	460	31.8994	2.3	1.226	0.02	1	8.6957
hwasun_pibok	154	 cls_9 	0.03	80	6.449	1	1.0504	0	0	0
hwasun_pibok	155	 cls_9 	0.02	60	5	1	1.0222	0	0	0
hwasun_pibok	157	 cls_9 	0.01	40	5	1	1	0	0	0
hwasun_pibok	158	 cls_9 	0.07	240	17.5088	2	1.25	0	0	0
hwasun_pibok	159	 cls_9 	0.01	40	5	1	1	0	0	0
hwasun_pibok	162	 cls_9 	0.03	100	8.4359	1.25	1.1287	0	0	0
hwasun_pibok	163	 cls_9 	0.04	140	12.7917	1.75	1.1868	0	0	0
hwasun_pibok	164	 cls_9 	0.01	40	5	1	1	0	0	0
hwasun_pibok	165	 cls_9 	0.01	40	5	1	1	0	0	0
hwasun_pibok	168	 cls_9 	0.01	40	5	1	1	0	0	0
hwasun_pibok	173	 cls_9 	0.01	40	5	1	1	0	0	0
hwasun_pibok	178	 cls_9 	0.02	80	7.0711	1.3333	1.1308	0	0	0
hwasun_pibok	179	 cls_9 	0.01	40	5	1	1	0	0	0
hwasun_pibok	181	 cls_9 	0.01	40	5	1	1	0	0	0
hwasun_pibok	185	 cls_9 	0.01	40	5	1	1	0	0	0
hwasun_pibok	189	 cls_9 	0.16	540	42.758	3.375	1.3297	0	0	0
hwasun_pibok	190	 cls_9 	0.01	40	5	1	1	0	0	0
hwasun_pibok	193	 cls_9 	0.04	120	9.802	1.5	1.1353	0	0	0
hwasun_pibok	195	 cls_9 	0.01	40	5	1	1	0	0	0
hwasun_pibok	196	 cls_9 	0.04	120	10.6982	1.5	1.1353	0	0	0
hwasun_pibok	200	 cls_9 	0.01	40	5	1	1	0	0	0
