LOC	 PID 	 TYPE 	 AREA 	 PERIM 	 GYRATE 	 SHAPE 	 FRAC 	 CORE 	 NCORE 	 CAI
hwasun_toyang	1	 cls_9 	54596.51	5613180	11899.1575	60.0469	1.4071	50627.12	218	92.7296
hwasun_toyang	16	 cls_9 	5.73	1400	104.7349	1.4583	1.0694	4.74	1	82.7225
hwasun_toyang	19	 cls_9 	4.8	1180	93.1524	1.3409	1.0552	4.05	1	84.375
hwasun_toyang	21	 cls_9 	0.4	600	45.4799	2.3077	1.2082	0.06	3	15
hwasun_toyang	27	 cls_9 	1.91	660	54.5363	1.1786	1.036	1.46	1	76.4398
hwasun_toyang	40	 cls_9 	0.04	140	12.7917	1.75	1.1868	0	0	0
hwasun_toyang	53	 cls_9 	5.09	1860	171.8029	2.0217	1.1335	3.63	1	71.3163
hwasun_toyang	57	 cls_9 	19.66	3700	234.2336	2.0787	1.1207	17.03	1	86.6226
hwasun_toyang	64	 cls_9 	2.83	880	66.2465	1.2941	1.0524	2.25	1	79.5053
hwasun_toyang	68	 cls_9 	4.22	1020	86.3415	1.2143	1.0406	3.49	1	82.7014
hwasun_toyang	72	 cls_9 	1.51	900	63.2686	1.8	1.1257	0.91	1	60.2649
hwasun_toyang	106	 cls_9 	2.97	860	69.9641	1.2286	1.043	2.38	1	80.1347
hwasun_toyang	119	 cls_9 	0.01	40	5	1	1	0	0	0
hwasun_toyang	120	 cls_9 	0.01	40	5	1	1	0	0	0
hwasun_toyang	121	 cls_9 	0.01	40	5	1	1	0	0	0
hwasun_toyang	122	 cls_9 	0.01	40	5	1	1	0	0	0
hwasun_toyang	129	 cls_9 	0.16	300	21.4644	1.875	1.1704	0.02	2	12.5
hwasun_toyang	132	 cls_9 	0.06	240	21.2132	2.4	1.2801	0	0	0
hwasun_toyang	137	 cls_9 	0.87	940	67.282	2.4737	1.2037	0.34	1	39.0805
hwasun_toyang	165	 cls_9 	8.7	2120	129.2286	1.7966	1.1031	7.19	1	82.6437
hwasun_toyang	166	 cls_9 	27.52	2680	199.5229	1.2762	1.0391	25.66	1	93.2413
hwasun_toyang	168	 cls_9 	17.13	2500	182.4035	1.506	1.0684	15.2	1	88.7332
hwasun_toyang	170	 cls_9 	1.44	680	54.2868	1.4167	1.0728	0.98	1	68.0556
hwasun_toyang	171	 cls_9 	1.55	640	52.7495	1.28	1.052	1.12	1	72.2581
hwasun_toyang	173	 cls_9 	0.44	360	26.2087	1.2857	1.0727	0.25	1	56.8182
hwasun_toyang	178	 cls_9 	0.29	280	21.5082	1.2727	1.0658	0.11	1	37.931
hwasun_toyang	180	 cls_9 	5.47	1720	132.7879	1.8298	1.1116	4.25	1	77.6965
hwasun_toyang	181	 cls_9 	17.25	2220	167.1275	1.3214	1.0481	15.74	1	91.2464
hwasun_toyang	182	 cls_9 	0.91	520	38.4128	1.3	1.0679	0.6	1	65.9341
