LOC	 PID 	 TYPE 	 AREA 	 PERIM 	 GYRATE 	 SHAPE 	 FRAC 	 CORE 	 NCORE 	 CAI
hwasun_infra	1	 giban_not_benefited 	75458.15	1360080	11756.3289	12.3779	1.2462	74595.67	514	98.857
hwasun_infra	3	 giban_not_benefited 	0.01	40	5	1	1	0	0	0
hwasun_infra	6	 giban_not_benefited 	0.01	40	5	1	1	0	0	0
hwasun_infra	10	 giban_not_benefited 	0.01	40	5	1	1	0	0	0
hwasun_infra	12	 giban_not_benefited 	0.01	40	5	1	1	0	0	0
hwasun_infra	13	 giban_not_benefited 	0.02	60	5	1	1.0222	0	0	0
hwasun_infra	14	 giban_not_benefited 	0.02	60	5	1	1.0222	0	0	0
hwasun_infra	19	 giban_not_benefited 	0.01	40	5	1	1	0	0	0
hwasun_infra	20	 giban_not_benefited 	0.01	40	5	1	1	0	0	0
hwasun_infra	21	 giban_not_benefited 	0.01	40	5	1	1	0	0	0
hwasun_infra	22	 giban_not_benefited 	0.06	160	16.1259	1.6	1.1533	0	0	0
hwasun_infra	23	 giban_not_benefited 	0.01	40	5	1	1	0	0	0
hwasun_infra	24	 giban_not_benefited 	0.01	40	5	1	1	0	0	0
hwasun_infra	26	 giban_not_benefited 	0.02	60	5	1	1.0222	0	0	0
hwasun_infra	27	 giban_not_benefited 	0.11	360	22.0193	2.5714	1.2851	0	0	0
hwasun_infra	28	 giban_not_benefited 	0.02	60	5	1	1.0222	0	0	0
hwasun_infra	29	 giban_not_benefited 	0.01	40	5	1	1	0	0	0
hwasun_infra	30	 giban_not_benefited 	0.01	40	5	1	1	0	0	0
hwasun_infra	31	 giban_not_benefited 	0.01	40	5	1	1	0	0	0
hwasun_infra	32	 giban_not_benefited 	0.03	80	6.6667	1	1.0504	0	0	0
hwasun_infra	33	 giban_not_benefited 	0.01	40	5	1	1	0	0	0
hwasun_infra	35	 giban_not_benefited 	0.02	80	7.0711	1.3333	1.1308	0	0	0
hwasun_infra	36	 giban_not_benefited 	0.01	40	5	1	1	0	0	0
hwasun_infra	37	 giban_not_benefited 	0.02	80	7.0711	1.3333	1.1308	0	0	0
hwasun_infra	38	 giban_not_benefited 	0.01	40	5	1	1	0	0	0
hwasun_infra	41	 giban_not_benefited 	0.01	40	5	1	1	0	0	0
hwasun_infra	42	 giban_not_benefited 	0.03	100	8.4359	1.25	1.1287	0	0	0
hwasun_infra	43	 giban_not_benefited 	0.04	100	10	1.25	1.0745	0	0	0
hwasun_infra	50	 giban_not_benefited 	0.02	60	5	1	1.0222	0	0	0
hwasun_infra	51	 giban_not_benefited 	0.04	100	10	1.25	1.0745	0	0	0
hwasun_infra	52	 giban_not_benefited 	0.02	60	5	1	1.0222	0	0	0
hwasun_infra	53	 giban_not_benefited 	0.04	160	14.1421	2	1.2314	0	0	0
hwasun_infra	55	 giban_not_benefited 	0.02	60	5	1	1.0222	0	0	0
hwasun_infra	58	 giban_not_benefited 	0.03	80	6.6667	1	1.0504	0	0	0
hwasun_infra	59	 giban_not_benefited 	0.1	180	13.2336	1.2857	1.1021	0.01	1	10
hwasun_infra	60	 giban_not_benefited 	0.01	40	5	1	1	0	0	0
hwasun_infra	61	 giban_not_benefited 	0.01	40	5	1	1	0	0	0
hwasun_infra	62	 giban_not_benefited 	0.02	60	5	1	1.0222	0	0	0
hwasun_infra	63	 giban_not_benefited 	0.05	200	16.9706	2	1.259	0	0	0
hwasun_infra	64	 giban_not_benefited 	0.05	120	12	1.2	1.0946	0	0	0
hwasun_infra	66	 giban_not_benefited 	0.03	80	6.6667	1	1.0504	0	0	0
hwasun_infra	67	 giban_not_benefited 	0.01	40	5	1	1	0	0	0
hwasun_infra	68	 giban_not_benefited 	0.01	40	5	1	1	0	0	0
hwasun_infra	69	 giban_not_benefited 	0.01	40	5	1	1	0	0	0
hwasun_infra	72	 giban_not_benefited 	0.03	100	8.4359	1.25	1.1287	0	0	0
hwasun_infra	73	 giban_not_benefited 	0.02	60	5	1	1.0222	0	0	0
hwasun_infra	74	 giban_not_benefited 	0.01	40	5	1	1	0	0	0
hwasun_infra	75	 giban_not_benefited 	0.02	80	7.0711	1.3333	1.1308	0	0	0
hwasun_infra	76	 giban_not_benefited 	0.02	60	5	1	1.0222	0	0	0
hwasun_infra	77	 giban_not_benefited 	0.1	220	25	1.5714	1.1602	0	0	0
hwasun_infra	78	 giban_not_benefited 	0.02	80	7.0711	1.3333	1.1308	0	0	0
hwasun_infra	79	 giban_not_benefited 	0.02	60	5	1	1.0222	0	0	0
hwasun_infra	80	 giban_not_benefited 	0.03	80	6.449	1	1.0504	0	0	0
hwasun_infra	82	 giban_not_benefited 	0.01	40	5	1	1	0	0	0
hwasun_infra	83	 giban_not_benefited 	0.02	80	7.0711	1.3333	1.1308	0	0	0
hwasun_infra	84	 giban_not_benefited 	0.02	60	5	1	1.0222	0	0	0
hwasun_infra	85	 giban_not_benefited 	0.03	80	6.6667	1	1.0504	0	0	0
