LOC	 PID 	 TYPE 	 AREA 	 PERIM 	 GYRATE 	 SHAPE 	 FRAC 	 CORE 	 NCORE 	 CAI
naju_pibok	1	 cls_9 	37896.21	9890420	10311.4837	126.9956	1.4905	31777.43	6945	83.8538
naju_pibok	6	 cls_9 	0.33	600	41.4516	2.5	1.2369	0.04	1	12.1212
naju_pibok	7	 cls_9 	1.17	1600	82.2764	3.6364	1.2792	0.3	3	25.641
naju_pibok	10	 cls_9 	0.02	60	5	1	1.0222	0	0	0
naju_pibok	11	 cls_9 	0.02	60	5	1	1.0222	0	0	0
naju_pibok	14	 cls_9 	0.02	60	5	1	1.0222	0	0	0
naju_pibok	15	 cls_9 	0.01	40	5	1	1	0	0	0
naju_pibok	16	 cls_9 	0.18	460	34.6463	2.5556	1.2661	0	0	0
naju_pibok	17	 cls_9 	0.05	100	8.4931	1	1.0359	0	0	0
naju_pibok	18	 cls_9 	0.01	40	5	1	1	0	0	0
naju_pibok	19	 cls_9 	0.5	600	34.5704	2	1.1766	0.15	2	30
naju_pibok	21	 cls_9 	0.26	500	29.32	2.2727	1.2281	0.03	2	11.5385
naju_pibok	24	 cls_9 	0.01	40	5	1	1	0	0	0
naju_pibok	25	 cls_9 	0.01	40	5	1	1	0	0	0
naju_pibok	26	 cls_9 	0.1	180	13.8461	1.2857	1.1021	0.01	1	10
naju_pibok	27	 cls_9 	0.02	60	5	1	1.0222	0	0	0
naju_pibok	30	 cls_9 	0.03	100	8.4359	1.25	1.1287	0	0	0
naju_pibok	33	 cls_9 	0.01	40	5	1	1	0	0	0
naju_pibok	34	 cls_9 	0.01	40	5	1	1	0	0	0
naju_pibok	35	 cls_9 	0.04	140	12.7917	1.75	1.1868	0	0	0
naju_pibok	36	 cls_9 	0.01	40	5	1	1	0	0	0
naju_pibok	37	 cls_9 	0.01	40	5	1	1	0	0	0
naju_pibok	38	 cls_9 	0.01	40	5	1	1	0	0	0
naju_pibok	39	 cls_9 	0.01	40	5	1	1	0	0	0
naju_pibok	40	 cls_9 	0.01	40	5	1	1	0	0	0
naju_pibok	41	 cls_9 	0.01	40	5	1	1	0	0	0
naju_pibok	42	 cls_9 	0.02	60	5	1	1.0222	0	0	0
naju_pibok	43	 cls_9 	0.01	40	5	1	1	0	0	0
naju_pibok	44	 cls_9 	0.01	40	5	1	1	0	0	0
naju_pibok	46	 cls_9 	0.04	100	8.8379	1.25	1.0745	0	0	0
naju_pibok	47	 cls_9 	0.04	100	8.8379	1.25	1.0745	0	0	0
naju_pibok	48	 cls_9 	1.17	1060	58.1819	2.4091	1.1913	0.6	2	51.2821
naju_pibok	49	 cls_9 	0.01	40	5	1	1	0	0	0
naju_pibok	50	 cls_9 	0.01	40	5	1	1	0	0	0
naju_pibok	51	 cls_9 	0.03	80	6.6667	1	1.0504	0	0	0
naju_pibok	53	 cls_9 	0.06	140	10.6788	1.4	1.1116	0	0	0
naju_pibok	54	 cls_9 	0.05	120	12	1.2	1.0946	0	0	0
naju_pibok	55	 cls_9 	0.01	40	5	1	1	0	0	0
naju_pibok	56	 cls_9 	0.02	60	5	1	1.0222	0	0	0
naju_pibok	57	 cls_9 	0.01	40	5	1	1	0	0	0
naju_pibok	58	 cls_9 	0.01	40	5	1	1	0	0	0
naju_pibok	59	 cls_9 	0.01	40	5	1	1	0	0	0
naju_pibok	62	 cls_9 	0.27	520	29.0735	2.3636	1.2321	0.04	2	14.8148
naju_pibok	63	 cls_9 	0.12	340	27.4245	2.4286	1.2532	0	0	0
naju_pibok	64	 cls_9 	0.01	40	5	1	1	0	0	0
naju_pibok	66	 cls_9 	0.01	40	5	1	1	0	0	0
naju_pibok	68	 cls_9 	0.04	140	12.7917	1.75	1.1868	0	0	0
naju_pibok	69	 cls_9 	0.01	40	5	1	1	0	0	0
naju_pibok	70	 cls_9 	0.01	40	5	1	1	0	0	0
naju_pibok	73	 cls_9 	0.02	60	5	1	1.0222	0	0	0
naju_pibok	74	 cls_9 	0.01	40	5	1	1	0	0	0
naju_pibok	76	 cls_9 	0.01	40	5	1	1	0	0	0
naju_pibok	78	 cls_9 	1.16	920	49.2327	2.0909	1.1621	0.58	2	50
naju_pibok	79	 cls_9 	0.02	60	5	1	1.0222	0	0	0
naju_pibok	83	 cls_9 	0.01	40	5	1	1	0	0	0
naju_pibok	84	 cls_9 	0.01	40	5	1	1	0	0	0
naju_pibok	86	 cls_9 	0.06	140	15	1.4	1.1116	0	0	0
naju_pibok	88	 cls_9 	0.02	60	5	1	1.0222	0	0	0
naju_pibok	89	 cls_9 	0.01	40	5	1	1	0	0	0
naju_pibok	90	 cls_9 	0.02	60	5	1	1.0222	0	0	0
naju_pibok	91	 cls_9 	0.01	40	5	1	1	0	0	0
naju_pibok	94	 cls_9 	0.02	60	5	1	1.0222	0	0	0
naju_pibok	95	 cls_9 	0.03	80	6.6667	1	1.0504	0	0	0
naju_pibok	96	 cls_9 	0.01	40	5	1	1	0	0	0
naju_pibok	98	 cls_9 	0.05	120	10.2951	1.2	1.0946	0	0	0
naju_pibok	99	 cls_9 	0.01	40	5	1	1	0	0	0
naju_pibok	102	 cls_9 	0.01	40	5	1	1	0	0	0
naju_pibok	103	 cls_9 	0.02	60	5	1	1.0222	0	0	0
naju_pibok	104	 cls_9 	0.01	40	5	1	1	0	0	0
naju_pibok	105	 cls_9 	0.01	40	5	1	1	0	0	0
naju_pibok	108	 cls_9 	0.03	80	6.449	1	1.0504	0	0	0
naju_pibok	109	 cls_9 	0.01	40	5	1	1	0	0	0
naju_pibok	111	 cls_9 	0.01	40	5	1	1	0	0	0
naju_pibok	112	 cls_9 	0.49	440	28.9842	1.5714	1.1064	0.24	1	48.9796
naju_pibok	113	 cls_9 	0.04	120	10.6982	1.5	1.1353	0	0	0
naju_pibok	115	 cls_9 	0.02	80	7.0711	1.3333	1.1308	0	0	0
naju_pibok	117	 cls_9 	0.01	40	5	1	1	0	0	0
naju_pibok	118	 cls_9 	0.01	40	5	1	1	0	0	0
naju_pibok	119	 cls_9 	0.06	160	12.3158	1.6	1.1533	0	0	0
naju_pibok	120	 cls_9 	0.06	100	9.1202	1	1.0064	0	0	0
