,weight,entropy,diversity
CLS_AREA_AM,0.05061688309266112,0.5703218732887934,0.42967812671120664
CLS_LPI,0.04615167225536482,0.6082262899718157,0.3917737100281843
LND_PRD,0.03926728696868901,0.6666666678220659,0.33333333217793415
LND_TA,0.036611931989194164,0.6892075254101152,0.3107924745898848
CLS_CORE_MN,0.035546835944726296,0.6982489448969035,0.3017510551030965
CLS_AREA_MN,0.034382648019966565,0.7081315385314194,0.2918684614685806
CLS_GYRATE_AM,0.03433214339720704,0.7085602636992224,0.2914397363007776
PATCH_CORE_MN,0.03364635480592654,0.7143818066156816,0.2856181933843184
PATCH_AREA_MN,0.03270275972788659,0.7223918250272046,0.27760817497279544
CLS_AREA_MD,0.026018003229028676,0.779137587991149,0.22086241200885104
CLS_GYRATE_MN,0.023604372225154737,0.7996264917906603,0.20037350820933975
PATCH_GYRATE_MN,0.0229368003895712,0.8052933957608948,0.19470660423910524
PATCH_FRAC_MN,0.022744419999120292,0.8069264802326034,0.19307351976739662
CLS_GYRATE_MD,0.0220110375070288,0.8131520396924342,0.18684796030756579
PATCH_SHAPE_MN,0.019499918048565542,0.8344685064311179,0.16553149356888208
CLS_CPLAND,0.01926610944863115,0.8364532679393457,0.1635467320606543
CLS_SHAPE_AM,0.019022120189029962,0.8385244513389868,0.1614755486610132
PATCH_PERIM_MN,0.01812008981448948,0.8461816340394632,0.15381836596053677
CLS_TCA,0.017805855614073676,0.8488491148153159,0.15115088518468411
PATCH_NCORE_MN,0.017596757635585308,0.8506241120535202,0.14937588794647982
CLS_PARA_MN,0.01707686352545302,0.8550374048854966,0.14496259511450338
PATCH_CAI_MN,0.01687596238093768,0.8567428205917831,0.14325717940821692
CLS_CAI_MN,0.01671581916460564,0.8581022491657055,0.14189775083429446
CLS_FRAC_AM,0.01615436410194819,0.8628683458673445,0.1371316541326555
LND_CONTAG,0.01589542088387623,0.8650664708815231,0.1349335291184769
CLS_PLAND,0.015686871992376134,0.8668368070135093,0.1331631929864907
LND_MESH,0.014804547656140638,0.8743267085005557,0.12567329149944428
CLS_PD,0.014481566155493224,0.8770684436229358,0.12293155637706421
LND_TCA,0.014350567639292797,0.8781804677857019,0.12181953221429809
CLS_CLUMPY,0.0142596923189014,0.8789518929514628,0.12104810704853719
CLS_GYRATE_CV,0.014190737275424588,0.8795372406081758,0.12046275939182416
CLS_CA,0.014000783964363123,0.8811497220150232,0.11885027798497683
LND_MSIDI,0.012877736259591452,0.890683083306951,0.109316916693049
LND_DIVISION,0.012543000908704688,0.8935245948684145,0.10647540513158549
CLS_AREA_CV,0.012124397000964455,0.8970780523695915,0.10292194763040852
CLS_NDCA,0.012087066324349973,0.8973949461452752,0.10260505385472485
CLS_NP,0.01153477594256884,0.9020832454269577,0.09791675457304228
LND_SIDI,0.011506743398474479,0.9023212089343385,0.09767879106566146
LND_SHEI,0.0105114703751693,0.9107699126492058,0.08923008735079418
LND_SHDI,0.010511261030829097,0.9107716897377668,0.08922831026223321
CLS_PLADJ,0.010232840773407432,0.913135152032124,0.08686484796787597
CLS_AI,0.01022285475788268,0.9132199216224627,0.08678007837753732
LND_NP,0.010154844647003036,0.9137972479067914,0.0862027520932086
CLS_FRAC_MN,0.010019360833776825,0.9149473469944843,0.08505265300551568
CLS_COHESION,0.00997639192070113,0.9153121028022132,0.0846878971977868
LND_COHESION,0.009902386793937713,0.9159403197585303,0.0840596802414697
CLS_DCAD,0.00976340288739815,0.9171201305441056,0.08287986945589443
LND_LPI,0.009490602696803983,0.9194358850453533,0.08056411495464666
LND_TE,0.009347891263854533,0.9206473381697533,0.0793526618302467
CLS_TE,0.009336708323178771,0.9207422682544819,0.07925773174551809
LND_PD,0.009021221237363337,0.923420384561774,0.076579615438226
CLS_SHAPE_MN,0.008943448012567495,0.9240805882625311,0.07591941173746886
LND_ED,0.008546546034899974,0.9274498217639294,0.07255017823607057
LND_AI,0.008545921984697965,0.9274551192201415,0.07254488077985854
CLS_ED,0.008543991558260649,0.9274715062824151,0.07252849371758485
LND_SPLIT,0.007877937672901118,0.9331255246309195,0.06687447536908053
CLS_IJI,0.0,1.0,0.0
LND_PR,0.0,1.0,0.0
