Layer,Class,Region,LPI,AI,TCA,PD,ED
nongeup,cls_1,hwasun,1.2742,95.5520,10666.23,0.5139,28.1458
nongeup,cls_9,hwasun,84.2660,99.1315,64865.01,0.0330,30.6484
nongeup,cls_1,naju,8.9591,96.6947,20398.25,0.5897,50.3098
nongeup,cls_9,naju,55.1261,97.9649,35614.79,0.3992,52.2821
toyang,cls_1,hwasun,5.9415,94.1180,19493.23,0.4124,70.6313
toyang,cls_9,hwasun,69.2720,97.4528,51344.62,0.0964,72.7811
toyang,cls_1,naju,16.3145,96.6774,27735.56,0.6075,68.3493
toyang,cls_9,naju,23.6049,96.5446,26977.51,0.4259,69.3998
infra,cls_1,hwasun,0.2555,89.5698,2267.57,1.0303,17.5554
infra,cls_9,hwasun,95.7413,99.5058,74598.69,3.3826,20.3381
infra,cls_1,naju,0.4195,89.6827,8477.56,3.6464,82.1941
infra,cls_9,naju,79.5376,97.3802,45687.48,15.2260,85.5031
pibok,cls_1,hwasun,0.3340,79.5702,4569.40,18.9470,95.0204
pibok,cls_9,hwasun,88.1105,97.2733,64875.52,11.6438,97.7402
pibok,cls_1,naju,1.3058,86.0989,13664.13,19.9206,199.1410
pibok,cls_9,naju,62.5551,92.2204,31979.40,39.4649,201.4084
