Layer,Class,Region,LPI,AI,TCA,PD,ED
nongeup,cls_1,hwasun,0.0107,0.8136,0.1160,0.9878,0.9845
nongeup,cls_9,hwasun,0.8801,0.9860,0.8628,1.0000,0.9701
nongeup,cls_1,naju,0.0912,0.9230,0.2494,0.9859,0.8551
nongeup,cls_9,naju,0.5749,0.9573,0.4589,0.9907,0.8450
toyang,cls_1,hwasun,0.0600,0.7407,0.2370,0.9904,0.7366
toyang,cls_9,hwasun,0.7230,0.9496,0.6755,0.9985,0.7241
toyang,cls_1,naju,0.1683,0.9221,0.3504,0.9854,0.7475
toyang,cls_9,naju,0.2447,0.9153,0.3400,0.9899,0.7437
infra,cls_1,hwasun,0.0000,0.5091,0.0000,0.9747,1.0000
infra,cls_9,hwasun,1.0000,1.0000,1.0000,0.9150,0.9868
infra,cls_1,naju,0.0017,0.5148,0.0854,0.9083,0.6683
infra,cls_9,naju,0.8306,0.9479,0.5976,0.6146,0.6569
pibok,cls_1,hwasun,0.0008,0.0000,0.0317,0.5203,0.5946
pibok,cls_9,hwasun,0.9202,0.9420,0.8616,0.7055,0.5803
pibok,cls_1,naju,0.0110,0.3324,0.1568,0.4956,0.0000
pibok,cls_9,naju,0.6526,0.6427,0.4089,0.0000,0.0000
