,area_density,shape,core,aggregation
AI,,,,0.046605673700269454
AREA_AM,0.1674651381258754,,,
AREA_CV,0.023529733726672754,,,
AREA_MD,0.13115097664397832,,,
AREA_MN,0.3809158371884109,,,
CA,0.06261381029974236,,,
CAI_MN,,,0.1306932172319526,
CLUMPY,,,,0.11093696721764154
COHESION,,,,0.043122680020332226
CORE_MN,,,0.5879388248087576,
CPLAND,,,0.09822454933933888,
DCAD,,,0.032107875179845036,
ED,,0.1420468328262353,,
FRAC_AM,,0.13043491676786423,,
FRAC_MN,,0.13326495655843879,,
GYRATE_AM,,,,0.21055992032872242
GYRATE_CV,,,,0.0562051269825109
GYRATE_MD,,,,0.2248879958150864
GYRATE_MN,,,,0.26098737386121673
LPI,0.13600273303522573,,,
NDCA,,,0.03882513212183944,
NP,0.023033450688506058,,,
PARA_MN,,0.2551705025561019,,
PD,0.020782393526485036,,,
PLADJ,,,,0.0466942620742203
PLAND,0.0545059267651034,,,
SHAPE_AM,,0.08310127752573027,,
SHAPE_MN,,0.10057648940511774,,
TCA,,,0.11221040131826639,
TE,,0.15540502436051182,,
