LOC	 PID 	 TYPE 	 AREA 	 PERIM 	 GYRATE 	 SHAPE 	 FRAC 	 CORE 	 NCORE 	 CAI
hwasun_toyang	1	 cls_9 	57738.8	5729640	11741.7961	59.6092	1.4053	53685.95	170	92.9807
hwasun_toyang	31	 cls_9 	0.4	600	45.4799	2.3077	1.2082	0.06	3	15
hwasun_toyang	37	 cls_9 	1.91	660	54.5363	1.1786	1.036	1.46	1	76.4398
hwasun_toyang	48	 cls_9 	0.04	140	12.7917	1.75	1.1868	0	0	0
hwasun_toyang	60	 cls_9 	5.09	1860	171.8029	2.0217	1.1335	3.63	1	71.3163
hwasun_toyang	63	 cls_9 	19.66	3700	234.2336	2.0787	1.1207	17.03	1	86.6226
hwasun_toyang	68	 cls_9 	2.83	880	66.2465	1.2941	1.0524	2.25	1	79.5053
hwasun_toyang	71	 cls_9 	4.22	1020	86.3415	1.2143	1.0406	3.49	1	82.7014
hwasun_toyang	114	 cls_9 	0.01	40	5	1	1	0	0	0
hwasun_toyang	115	 cls_9 	0.01	40	5	1	1	0	0	0
hwasun_toyang	116	 cls_9 	0.01	40	5	1	1	0	0	0
hwasun_toyang	117	 cls_9 	0.01	40	5	1	1	0	0	0
hwasun_toyang	123	 cls_9 	0.16	300	21.4644	1.875	1.1704	0.02	2	12.5
hwasun_toyang	126	 cls_9 	0.06	240	21.2132	2.4	1.2801	0	0	0
hwasun_toyang	130	 cls_9 	0.87	940	67.282	2.4737	1.2037	0.34	1	39.0805
hwasun_toyang	146	 cls_9 	27.52	2680	199.5229	1.2762	1.0391	25.66	1	93.2413
hwasun_toyang	152	 cls_9 	1.44	680	54.2868	1.4167	1.0728	0.98	1	68.0556
hwasun_toyang	153	 cls_9 	1.55	640	52.7495	1.28	1.052	1.12	1	72.2581
hwasun_toyang	156	 cls_9 	0.44	360	26.2087	1.2857	1.0727	0.25	1	56.8182
hwasun_toyang	202	 cls_9 	0.53	380	29.976	1.2667	1.0621	0.29	1	54.717
hwasun_toyang	205	 cls_9 	2.63	900	75.0827	1.3636	1.0643	1.98	1	75.2852
hwasun_toyang	208	 cls_9 	1.5	600	47.8738	1.2	1.0422	1.06	1	70.6667
hwasun_toyang	209	 cls_9 	9.39	2320	140.2939	1.871	1.1114	7.72	1	82.2151
hwasun_toyang	211	 cls_9 	15.42	1860	150.5337	1.1772	1.0283	14.01	1	90.856
hwasun_toyang	222	 cls_9 	4.78	1460	96.063	1.6591	1.0951	3.72	1	77.8243
hwasun_toyang	225	 cls_9 	3.97	1000	81.1275	1.25	1.0429	3.29	1	82.8715
hwasun_toyang	226	 cls_9 	4.92	1560	115.9651	1.7333	1.1045	3.81	1	77.439
